generic_slug,overview,indication_summary,adult_dose,child_dose,renal_dose_adjustment,hepatic_dose_adjustment,administration,monitoring,precaution,storage_condition,notes
ibuprofen,NSAID analgesic and anti-inflammatory,Used in pain fever and inflammation,200 to 400 mg every 6 to 8 hours,Weight based dosing,Use cautiously in renal impairment,Use cautiously in liver disease,Take after food,Monitor GI symptoms and kidney function,Avoid in active ulcer,Store below 30C,May cause gastric irritation
amoxicillin,Penicillin antibiotic,Used in bacterial infections,500 mg every 8 hours,Weight based dosing,Dose adjustment may be needed,Usually no major adjustment,Oral administration,Monitor allergy and infection response,Avoid in penicillin allergy,Store in dry place,Complete full course
azithromycin,Macrolide antibiotic,Used in respiratory and soft tissue infections,500 mg once daily,Weight based dosing,Usually no major adjustment,Use cautiously in liver disease,Oral administration,Monitor infection response,Use caution in QT prolongation,Store below 30C,Short course antibiotic
ciprofloxacin,Fluoroquinolone antibiotic,Used in urinary and gastrointestinal infections,500 mg twice daily,Use according to physician advice,Dose adjustment may be needed,Use cautiously,Take with water,Monitor tendon pain and infection response,Avoid unnecessary use,Store below 30C,Avoid with antacids
metformin,Biguanide antidiabetic,Used in type 2 diabetes,500 mg twice daily with meals,Use according to physician advice,Avoid in severe renal impairment,Use cautiously in liver disease,Take with meals,Monitor blood glucose and renal function,Avoid alcohol excess,Store below 30C,First line diabetes medicine
amlodipine,Calcium channel blocker,Used in hypertension and angina,5 mg once daily,Use according to physician advice,Usually no adjustment,Use cautiously in liver disease,Oral administration,Monitor blood pressure and edema,May cause ankle swelling,Store below 30C,Long acting antihypertensive
losartan,Angiotensin receptor blocker,Used in hypertension and kidney protection,50 mg once daily,Use according to physician advice,Monitor renal function,Use cautiously,Oral administration,Monitor BP potassium and creatinine,Avoid in pregnancy,Store below 30C,ARB class medicine
salbutamol,Bronchodilator beta 2 agonist,Used in asthma and bronchospasm,1 to 2 puffs when needed,Use according to physician advice,Usually no adjustment,Usually no adjustment,Inhalation use,Monitor breathing and heart rate,Overuse may worsen symptoms,Store below 30C,Rescue inhaler medicine
montelukast,Leukotriene receptor antagonist,Used in asthma and allergic rhinitis,10 mg once daily at night,Age based dosing,Usually no adjustment,Use cautiously in liver disease,Oral administration,Monitor asthma control,Not for acute asthma attack,Store below 30C,Preventive asthma medicine
cetirizine,H1 antihistamine,Used in allergy and itching,10 mg once daily,Age based dosing,Dose adjustment may be needed,Usually no major adjustment,Oral administration,Monitor sedation,Avoid driving if drowsy,Store below 30C,May cause mild drowsiness
fexofenadine,Non sedating H1 antihistamine,Used in allergic rhinitis and urticaria,120 to 180 mg once daily,Age based dosing,Use cautiously in renal impairment,Usually no adjustment,Take with water,Monitor allergy relief,Avoid fruit juice with dose,Store below 30C,Less sedating allergy medicine
pantoprazole,Proton pump inhibitor,Used in GERD and peptic ulcer,40 mg once daily,Use according to physician advice,Usually no adjustment,Use cautiously in liver disease,Take before food,Monitor symptom relief,Long term use needs review,Store in dry place,Acid suppression medicine
esomeprazole,Proton pump inhibitor,Used in acid related disorders,20 to 40 mg once daily,Use according to physician advice,Usually no adjustment,Use cautiously,Take before food,Monitor symptom relief,Do not overuse long term,Store in dry place,PPI medicine
clopidogrel,Antiplatelet medicine,Used to prevent blood clots,75 mg once daily,Use according to physician advice,Usually no adjustment,Use cautiously,Oral administration,Monitor bleeding signs,Avoid unnecessary NSAID use,Store below 30C,Used in cardiovascular disease
aspirin,NSAID and antiplatelet,Used for pain fever and clot prevention,75 to 300 mg depending on indication,Use according to physician advice,Use cautiously in renal impairment,Use cautiously,Take after food,Monitor bleeding and gastric symptoms,Avoid in active bleeding,Store below 30C,Dose depends on indication
atorvastatin,Statin lipid lowering drug,Used in high cholesterol,10 to 20 mg once daily,Use according to physician advice,Usually no adjustment,Avoid in active liver disease,Oral administration,Monitor lipid profile and liver enzymes,Report muscle pain,Store below 30C,Cholesterol lowering medicine
rosuvastatin,Statin lipid lowering drug,Used in high LDL cholesterol,5 to 20 mg once daily,Use lower dose in renal impairment,Adjustment may be needed,Avoid in active liver disease,Oral administration,Monitor lipid profile and muscle symptoms,Use caution with interacting drugs,Store below 30C,Potent statin medicine
doxycycline,Tetracycline antibiotic,Used in bacterial infections and acne,100 mg once or twice daily,Use according to physician advice,Usually no adjustment,Use cautiously,Take with water,Monitor infection response,Avoid lying down after dose,Store below 30C,Avoid in pregnancy unless advised
cefuroxime,Cephalosporin antibiotic,Used in respiratory urinary and skin infections,250 to 500 mg twice daily,Weight based dosing,Dose adjustment may be needed,Usually no adjustment,Take after food,Monitor infection response,Avoid if severe cephalosporin allergy,Store below 30C,Complete full course
ranitidine,H2 receptor blocker,Used in acid related disorders,150 mg twice daily,Use according to physician advice,Dose adjustment may be needed,Use cautiously,Oral administration,Monitor symptom relief,Use alternative if unavailable,Store below 30C,Availability may vary